                 User                   -  Floor
------------------------------------------------------------
  044DDAD0-5455-484F-AA52-F48A5F31B503  -  Archive
  044DDAD0-5455-484F-AA52-F48A5F31B503  -  Basement
  044DDAD0-5455-484F-AA52-F48A5F31B503  -  Chemicals
  044DDAD0-5455-484F-AA52-F48A5F31B503  -  Customers
  044DDAD0-5455-484F-AA52-F48A5F31B503  -  Development
  044DDAD0-5455-484F-AA52-F48A5F31B503  -  Management
  044DDAD0-5455-484F-AA52-F48A5F31B503  -  Recycle
  044DDAD0-5455-484F-AA52-F48A5F31B503  -  Research
  044DDAD0-5455-484F-AA52-F48A5F31B503  -  Servers
  0FAE2E07-6AF1-4634-BC7D-416068962659  -  Archive
  0FAE2E07-6AF1-4634-BC7D-416068962659  -  Basement
  0FAE2E07-6AF1-4634-BC7D-416068962659  -  Chemicals
  0FAE2E07-6AF1-4634-BC7D-416068962659  -  Equipments
  0FAE2E07-6AF1-4634-BC7D-416068962659  -  Management
  0FAE2E07-6AF1-4634-BC7D-416068962659  -  Recycle
  0FAE2E07-6AF1-4634-BC7D-416068962659  -  Research
  0FAE2E07-6AF1-4634-BC7D-416068962659  -  Servers
  102A13FC-723D-4042-9009-2F92A9E97E82  -  Archive
  102A13FC-723D-4042-9009-2F92A9E97E82  -  Development
  102A13FC-723D-4042-9009-2F92A9E97E82  -  Management
  2455C1AF-CD78-4E07-B5D0-A653B64B2655  -  Basement
  2455C1AF-CD78-4E07-B5D0-A653B64B2655  -  Chemicals
  2455C1AF-CD78-4E07-B5D0-A653B64B2655  -  Customers
  2455C1AF-CD78-4E07-B5D0-A653B64B2655  -  Development
  2455C1AF-CD78-4E07-B5D0-A653B64B2655  -  Equipments
  2455C1AF-CD78-4E07-B5D0-A653B64B2655  -  Servers
  3BC5040F-FB2C-4082-AFC8-2292DBDB093D  -  Chemicals
  3BC5040F-FB2C-4082-AFC8-2292DBDB093D  -  Customers
  3BC5040F-FB2C-4082-AFC8-2292DBDB093D  -  Development
  3BC5040F-FB2C-4082-AFC8-2292DBDB093D  -  Equipments
  3BC5040F-FB2C-4082-AFC8-2292DBDB093D  -  Research
  3BC5040F-FB2C-4082-AFC8-2292DBDB093D  -  Servers
  4557238E-0676-413D-8A65-C5A2A85CB631  -  Basement
  4557238E-0676-413D-8A65-C5A2A85CB631  -  Customers
  4557238E-0676-413D-8A65-C5A2A85CB631  -  Recycle
  54597A1B-B011-4A48-BA3C-4084AA5FD3E1  -  Archive
  54597A1B-B011-4A48-BA3C-4084AA5FD3E1  -  Basement
  54597A1B-B011-4A48-BA3C-4084AA5FD3E1  -  Chemicals
  54597A1B-B011-4A48-BA3C-4084AA5FD3E1  -  Customers
  54597A1B-B011-4A48-BA3C-4084AA5FD3E1  -  Equipments
  54597A1B-B011-4A48-BA3C-4084AA5FD3E1  -  Recycle
  5A99516A-D3D0-44E6-848B-9E03F8AA6330  -  Archive
  5A99516A-D3D0-44E6-848B-9E03F8AA6330  -  Customers
  5A99516A-D3D0-44E6-848B-9E03F8AA6330  -  Development
  5A9ABD24-5AE6-4873-A656-95FDF704CC0C  -  Archive
