      Time    TNP064    XDF846    IWR395    FPT701    GUO758    PVL758    HQP689    VKY370    NPU381    AFW481    XGQ241    CIG308    ISO610    PKB567    SQC307    XZC901    PXF961    REY386    NIK876    HPQ298
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     6.000     8.960    -2.001     9.568   -11.081     4.932     4.468     8.890    10.863    11.796   -13.018    -6.071     5.937     4.315     6.431    11.905     3.788     1.071   -10.934    10.321    15.833
     6.125    14.696     3.402    -8.363    11.744     3.631    -1.023     7.570     6.914    10.060   -12.895     1.574    14.805    -3.792     7.913    11.722     4.154     4.132    10.228   -10.317   -14.590
     6.250    -6.769    -6.886    -6.618    11.161     5.781    -3.832     7.118    11.457   -19.729   -12.147     2.808    11.334     2.263     5.226    11.920     4.827     1.252   -11.492     6.453    11.409
     6.375    13.088     3.537    -8.386    11.566     4.232     3.140    -8.687   -10.766    11.491     7.203     5.936    -6.990     3.007    -4.217    11.836     3.577     4.078     9.085     9.252   -10.045
     6.500    -5.398    -3.394     3.620    11.877     4.940    -4.993     7.559     6.461    14.518   -12.990    -5.495     7.890     2.696     8.694   -10.949     4.026    -4.812     9.282     6.958   -10.911
     6.625   -12.022    -5.094    -3.789    10.037     4.771     3.107     8.938   -10.930    14.592    13.022     4.927   -12.701     5.812     4.044   -11.400     5.168    -2.045    11.165   -10.766   -17.335
     6.750    -7.674     4.255     9.212    11.938     5.717     1.259     8.677     6.451   -17.794     7.531   -11.833   -12.845    -5.602     8.517    11.980    -4.859     2.249    10.349    -8.655    13.275
     6.875    11.208     4.265    -8.585   -11.138     3.053     2.297     9.026     7.032   -10.002     9.703     5.765    10.084     4.666     8.949   -10.912     5.992    -4.651    -7.471     6.144   -17.643
     7.000    12.631     4.829    -5.655    11.664    -4.550    -1.417    11.192     8.313    14.635     9.372    11.164     7.563    -3.670     4.155    11.322    -4.884     3.999     8.256    10.048    10.030
     7.125   -14.873     6.349     8.758    11.577     4.410    -1.736    11.795     6.832    11.538     9.509    -3.140     6.174     2.306     5.809    10.375     3.241     3.601    10.707     7.991    12.177
     7.250    13.296     6.198     5.823    10.219     4.299     1.732    11.316    11.416    15.227     9.700     6.689     8.839    -2.244     3.438   -11.868     3.165     1.194   -11.421    -6.953    17.744
     7.375     8.121    -6.285     3.186    10.917     5.162     2.670   -10.641     6.253    12.041    10.500    11.768     9.631    -4.836     5.167    10.613    -5.351     4.444    11.466   -11.911    13.307
     7.500    14.539     4.553     8.729    10.521    -5.529    -4.024     9.549   -11.207    14.510    10.763     5.091    13.490    -2.517    -8.573    10.062     3.256     2.184   -11.398     8.123   -16.587
     7.625    10.445     2.547     6.967    11.847     4.752     1.478     8.749     9.054   -11.092     8.221     5.509     6.195     3.077     3.823   -10.922     4.877    -4.573     7.936     6.244    16.759
     7.750   -13.625     4.589    -8.891    10.818     5.906     2.681     9.178    10.376    14.223     8.407     4.079     8.054     4.545     6.978   -11.813     5.441     2.362     9.050    11.674   -12.211
     7.875    10.333    -2.379     3.155    11.915     3.929    -4.794     8.672     9.646    16.824    11.802    -7.371    14.253     4.026     7.781    10.610     5.179     4.094   -11.518     9.849   -19.008
