      Time    TNP064    XDF846    IWR395    FPT701    GUO758    PVL758    HQP689    VKY370    NPU381    AFW481    XGQ241    CIG308    ISO610    PKB567    SQC307    XZC901    PXF961    REY386    NIK876    HPQ298
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.000     9.296     5.148    -4.630    10.449     3.344     1.465     7.769     6.505    15.027    10.343    -8.709     8.150     3.825     7.314    11.161     4.916     2.228     8.222   -10.290   -18.452
     0.125     7.268     5.250     3.753    11.162     5.208    -4.658    11.639     6.821    11.921    10.873     6.042    10.647    -4.350     7.339    11.108     4.784     3.293    -8.862     6.091   -16.984
     0.250    -5.002    -5.146     6.043    10.112     4.943     4.844    10.334     6.555    11.548    -7.299    -3.352    -8.569     4.384    -4.828   -10.897    -4.699     4.470    11.414     7.697   -18.762
     0.375   -10.757     5.897     6.557    10.405     4.788     1.293    -9.223    10.042   -17.720   -10.086     5.599    -9.268    -3.199     8.801    10.057     5.836     1.645     7.984     9.808    19.672
     0.500   -14.627     2.202     7.405    10.477     3.120     4.340    -8.118    11.130    19.673    -8.272     4.674    -5.792     6.683    -5.064   -10.421    -4.001    -2.206     8.530     9.652    10.060
     0.625    -8.210     3.117     6.862    10.401    -5.759     2.913    11.318     6.855    18.595    13.769    10.564     7.571    -4.756     5.672   -11.183     3.473    -4.949   -11.815     7.007    13.812
     0.750     6.171    -2.699     4.754    10.274    -3.420     2.533     8.314     8.255    17.314    -8.064    -8.397     8.290     4.814     4.090    10.850     4.287     4.050    11.408     6.655    10.923
     0.875   -11.551     2.107     9.844    11.520     3.580     2.060     8.895     9.069    10.490    13.951     8.703    13.470    -2.099     5.824   -11.391     5.138     3.148     9.326    10.519    14.259
     1.000    13.633    -2.964     8.398   -10.891    -3.226    -3.437     8.738     6.609    18.282    -8.313     9.040    11.393    -2.794    -3.033    11.435     4.827     2.688     7.441     6.877    19.664
     1.125    10.711     5.673     3.200    10.533    -4.161     4.487   -11.420    11.375    14.813     9.360     5.139    11.447     3.040     8.245   -10.423     4.046     3.557   -11.484    -9.440   -16.375
     1.250    12.435     5.612     7.159    10.280     4.159    -2.634    10.928    -9.800   -17.919    11.657   -10.436    10.224     2.026    -5.673    11.494     4.416     1.841     9.168     8.311    11.030
     1.375     8.609     5.587    -8.155   -11.941     3.571     1.121    10.645    -8.701    10.820    -8.644    10.393    14.987    -2.540    -6.114    10.447    -3.158     3.519    -9.459     7.350    19.537
     1.500    10.632     2.870     4.361    10.927     4.856     3.911    11.466     8.432   -13.826     7.649     6.336    13.648    -6.571    -6.788    10.404    -5.780    -3.469    11.288     6.763    14.128
     1.625    14.657     6.524     7.291   -11.408     4.715     3.819    -8.648    -9.068   -12.058    11.107    -8.293    -5.475     3.185    -5.666    10.221    -3.486    -4.304    10.818     7.792   -13.201
